ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	GLOTTOCODE	LATITUDE	LONGITUDE	ALIGNMENT	STRUCTURE	ORIGINAL_ALIGNMENT	ORIGINAL_TOKENS	ORIGINAL_STRUCTURE
4385	Imbabura	dog	allku	allku	a ʎ k u		19	imba1240	-0.23	-78.26	a ʎ k u	V C C V	a ʎ k u	a ʎ k u	V C C V
4386	Inkawasi	dog	až(ə)γu	ažγu	a ʒ ʁ u		19	lamb1276	-6.17	-79.47	a ʒ ʁ u	V C C V	a ʒ ʁ u	a ʒ ʁ u	V C C V
7353	Jauja	dog	allqu	allqu	a ʎ ʔ u		19	jauj1238	-11.67	-75.28	a ʎ ʔ u	V C C V	a ʎ ʔ u	a ʎ ʔ u	V C C V
4393	Maragua	dog	alqu	alqu	a l q u		19	sout2991	-18.96	-65.78	a l q u	V C C V	a l q u	a l q u	V C C V
4394	Napo	dog	allcu	allcu	a ʎ k u		19	napo1242	-0.04	-76.23	a ʎ k u	V C C V	a ʎ k u	a ʎ k u	V C C V
4395	Pacaraos	dog	alqu	alqu	a l χ o		19	paca1245	-11.14	-76.73	a l χ o	V C C V	a l χ o	a l χ o	V C C V
4399	Puno	dog	alqu	alqu	a l q u		19	puno1238	-14.61	-70.21	a l q u	V C C V	a l q u	a l q u	V C C V
4403	Santiagueno	dog	allqo	allqo	a ʒ q o		19	sant1432	-27.79	-64.25	a ʒ q o	V C C V	a ʒ q o	a ʒ q o	V C C V
4413	Yanac	dog	aλqu	aλqu	a ʎ q u		19	coro1247	-8.58	-77.99	a ʎ q u	V C C V	a ʎ q u	a ʎ q u	V C C V
1743	Apuri	drink, to	upya	upya	u p j a		30	apur1253	-12.89	-75.81	u p j a	V C C V	u p j - - a	u p j a	V C C V
1744	Apurimac	drink, to	upya	upya	u p j a		30	east2551	-13.89	-73.14	u p j a	V C C V	u p j - - a	u p j a	V C C V
1746	Atalla	drink, to	upya.	upya.	u p j a		30	huan1249	-12.76	-74.87	u p j a	V C C V	u p j - - a	u p j a	V C C V
1747	Ayacucho	drink, to	upya	upya	u p j a		30	ayac1239	-13.85	-74.32	u p j a	V C C V	u p j - - a	u p j a	V C C V
7296	Azuay	drink, to	upia-na	upia-na	u p j a		30	azua1234	-2.48	-78.97	u p j a	V C C V	u p j a n a	u p j a n a	V C C V C V
1750	Chachapoyas	drink, to	upya	upya	u p j a		30	chac1250	-6.27	-77.66	u p j a	V C C V	u p j - - a	u p j a	V C C V
1751	Chetilla	drink, to	upya.	upya.	u p j a		30	caja1238	-7.09	-78.32	u p j a	V C C V	u p j - - a	u p j a	V C C V
1758	Huangascar	drink, to	upya	upya	u p j a		30	azan1238	-12.9	-75.83	u p j a	V C C V	u p j - - a	u p j a	V C C V
1759	HuarazHuailas	drink, to	upyay	upyay	u p j a		30	huai1241	-9.52	-77.52	u p j a	V C C V	u p j - - a	u p j a	V C C V
1760	Imbabura	drink, to	ufiana	ufiana	u f j a		30	imba1240	-0.23	-78.26	u f j a	V C C V	u f j a n a	u f j a n a	V C C V C V
1761	Inkawasi	drink, to	upya.	upya.	u p j a		30	lamb1276	-6.17	-79.47	u p j a	V C C V	u p j - - a	u p j a	V C C V
7354	Jauja	drink, to	upyay	upyay	u p j a		30	jauj1238	-11.67	-75.28	u p j a	V C C V	u p j - - a	u p j a	V C C V
1767	Maragua	drink, to	uxya.	uxya.	u x j a		30	sout2991	-18.96	-65.78	u x j a	V C C V	u x j - - a	u x j a	V C C V
1769	Pacaraos	drink, to	upya, upu	upya	u p j a		30	paca1245	-11.14	-76.73	u p j a	V C C V	u p j - - a	u p j a	V C C V
1773	Puno	drink, to	uxa.	uxa.	u x a		30	puno1238	-14.61	-70.21	u x - a	V C V	u x - - - a	u x a	V C V
1777	Santiagueno	drink, to	upyay	upyay	u p j a		30	sant1432	-27.79	-64.25	u p j a	V C C V	u p j - - a	u p j a	V C C V
1786	Yanac	drink, to	upya.	upya.	u p j a		30	coro1247	-8.58	-77.99	u p j a	V C C V	u p j - - a	u p j a	V C C V
1043	Apuri	dry	chaki	chaki	tʃ a k i		40	apur1253	-12.89	-75.81	tʃ a k i	C V C V	tʃ a k - - - - i	tʃ a k i	C V C V
1044	Apurimac	dry	chaki	chaki	tʃ a k i		40	east2551	-13.89	-73.14	tʃ a k i	C V C V	tʃ a k - - - - i	tʃ a k i	C V C V
1046	Atalla	dry	čaki	čaki	tʃ a k i		40	huan1249	-12.76	-74.87	tʃ a k i	C V C V	tʃ a k - - - - i	tʃ a k i	C V C V
1047	Ayacucho	dry	chaki	chaki	tʃ a k i		40	ayac1239	-13.85	-74.32	tʃ a k i	C V C V	tʃ a k - - - - i	tʃ a k i	C V C V
7284	Azuay	dry	chaquishca	chaquishca	tʃ a k a		40	azua1234	-2.48	-78.97	tʃ a k a	C V C V	tʃ a k i ʃ - k a	tʃ a k i ʃ k a	C V C V C C V
1050	Chachapoyas	dry	chaki	chaki	tʃ a k i		40	chac1250	-6.27	-77.66	tʃ a k i	C V C V	tʃ a k - - - - i	tʃ a k i	C V C V
1052	Chetilla	dry	čaki	čaki	tʃ a k i		40	caja1238	-7.09	-78.32	tʃ a k i	C V C V	tʃ a k - - - - i	tʃ a k i	C V C V
1058	Huallaga	dry	čaki	čaki	tʃ a k i		40	hual1241	-9.57	-75.59	tʃ a k i	C V C V	tʃ a k - - - - i	tʃ a k i	C V C V
1061	Huangascar	dry	chaki	chaki	tʃ a k i		40	azan1238	-12.9	-75.83	tʃ a k i	C V C V	tʃ a k - - - - i	tʃ a k i	C V C V
1062	HuarazHuailas	dry	tsaki	tsaki	ts a k i		40	huai1241	-9.52	-77.52	ts a k i	C V C V	ts a k - - - - i	ts a k i	C V C V
1063	Imbabura	dry	chakishka	chakishka	tʃ a k a		40	imba1240	-0.23	-78.26	tʃ a k a	C V C V	tʃ a k i ʃ - k a	tʃ a k i ʃ k a	C V C V C C V
1064	Inkawasi	dry	čaki	čaki	tʃ a k i		40	lamb1276	-6.17	-79.47	tʃ a k i	C V C V	tʃ a k - - - - i	tʃ a k i	C V C V
7355	Jauja	dry	chaki	chaki	tʃ a k i		40	jauj1238	-11.67	-75.28	tʃ a k i	C V C V	tʃ a k - - - - i	tʃ a k i	C V C V
1071	Maragua	dry	č'aki	č'aki	tʃʼ a k i		40	sout2991	-18.96	-65.78	tʃʼ a k i	C V C V	tʃʼ a k - - - - i	tʃʼ a k i	C V C V
1072	Napo	dry	chaquichina	chaquichina	tʃ a k a		40	napo1242	-0.04	-76.23	tʃ a k a	C V C V	tʃ a k i tʃ i n a	tʃ a k i tʃ i n a	C V C V C V C V
1073	Pacaraos	dry	saki	saki	s a k i		40	paca1245	-11.14	-76.73	s a k i	C V C V	s a k - - - - i	s a k i	C V C V
1077	Puno	dry	č'aki	č'aki	tʃʼ a k i		40	puno1238	-14.61	-70.21	tʃʼ a k i	C V C V	tʃʼ a k - - - - i	tʃʼ a k i	C V C V
1081	Santiagueno	dry	chaki	chaki	tʃ a x i		40	sant1432	-27.79	-64.25	tʃ a x i	C V C V	tʃ a x - - - - i	tʃ a x i	C V C V
1091	Yanac	dry	tsaki	tsaki	ts a k i		40	coro1247	-8.58	-77.99	ts a k i	C V C V	ts a k - - - - i	ts a k i	C V C V
3295	Apuri	ear	rinri	rinri	ɾ i n ɾ i		48	apur1253	-12.89	-75.81	ɾ i n ɾ i	C V C C V	ɾ i n ɾ i	ɾ i n ɾ i	C V C C V
3296	Apurimac	ear	rinri, ninri	rinri	r i n r i		48	east2551	-13.89	-73.14	r i n r i	C V C C V	r i n r i	r i n r i	C V C C V
3299	Atalla	ear	linri, rinri	linri	l i n r i		48	huan1249	-12.76	-74.87	l i n r i	C V C C V	l i n r i	l i n r i	C V C C V
3301	Ayacucho	ear	rinri	rinri	ɾ i ŋ ɾ i		48	ayac1239	-13.85	-74.32	ɾ i ŋ ɾ i	C V C C V	ɾ i ŋ ɾ i	ɾ i ŋ ɾ i	C V C C V
7195	Azuay	ear	ringri	ringri	ɾ i n ɾ i		48	azua1234	-2.48	-78.97	ɾ i n ɾ i	C V C C V	ɾ i n ɾ i	ɾ i n ɾ i	C V C C V
3304	Chachapoyas	ear	rinri	rinri	r i n r i		48	chac1250	-6.27	-77.66	r i n r i	C V C C V	r i n r i	r i n r i	C V C C V
3306	Chetilla	ear	rinri	rinri	r i n r i		48	caja1238	-7.09	-78.32	r i n r i	C V C C V	r i n r i	r i n r i	C V C C V
3313	Huallaga	ear	rinri	rinri	r i n r i		48	hual1241	-9.57	-75.59	r i n r i	C V C C V	r i n r i	r i n r i	C V C C V
3316	Huangascar	ear	rinri	rinri	ɾ i n ɾ i		48	azan1238	-12.9	-75.83	ɾ i n ɾ i	C V C C V	ɾ i n ɾ i	ɾ i n ɾ i	C V C C V
3317	HuarazHuailas	ear	rinri	rinri	ɾ i ɲ ɾ i		48	huai1241	-9.52	-77.52	ɾ i ɲ ɾ i	C V C C V	ɾ i ɲ ɾ i	ɾ i ɲ ɾ i	C V C C V
3318	Imbabura	ear	rinri	rinri	ɾ i n ɾ i		48	imba1240	-0.23	-78.26	ɾ i n ɾ i	C V C C V	ɾ i n ɾ i	ɾ i n ɾ i	C V C C V
3319	Inkawasi	ear	řinri	řinri	r̝ i n r i		48	lamb1276	-6.17	-79.47	r̝ i n r i	C V C C V	r̝ i n r i	r̝ i n r i	C V C C V
7356	Jauja	ear	linli	linli	l i n l i		48	jauj1238	-11.67	-75.28	l i n l i	C V C C V	l i n l i	l i n l i	C V C C V
3325	Maragua	ear	linri, ninri, nigri	linri	l i n r i		48	sout2991	-18.96	-65.78	l i n r i	C V C C V	l i n r i	l i n r i	C V C C V
3328	Napo	ear	rinri	rinri	r i n r i		48	napo1242	-0.04	-76.23	r i n r i	C V C C V	r i n r i	r i n r i	C V C C V
3329	Pacaraos	ear	rinri	rinri	ɾ i ŋ ɾ i		48	paca1245	-11.14	-76.73	ɾ i ŋ ɾ i	C V C C V	ɾ i ŋ ɾ i	ɾ i ŋ ɾ i	C V C C V
3335	Puno	ear	ninri, rinri	rinri	r i n r i		48	puno1238	-14.61	-70.21	r i n r i	C V C C V	r i n r i	r i n r i	C V C C V
3348	Yanac	ear	rinri	rinri	r i n r i		48	coro1247	-8.58	-77.99	r i n r i	C V C C V	r i n r i	r i n r i	C V C C V
3297	Apurimac	ear	rinri, ninri	ninri	n i n r i		456	east2551	-13.89	-73.14	n i n r i	C V C C V	n i n r i	n i n r i	C V C C V
3326	Maragua	ear	linri, ninri, nigri	ninri	n i n r i		456	sout2991	-18.96	-65.78	n i n r i	C V C C V	n i n r i	n i n r i	C V C C V
3334	Puno	ear	ninri, rinri	ninri	n i n r i		456	puno1238	-14.61	-70.21	n i n r i	C V C C V	n i n r i	n i n r i	C V C C V
3339	Santiagueno	ear	nigri	nigri	n i ŋ ɾ i		456	sant1432	-27.79	-64.25	n i ŋ ɾ i	C V C C V	n i ŋ ɾ i	n i ŋ ɾ i	C V C C V
1692	Apuri	eat, to	miku-	miku-	m i k u		57	apur1253	-12.89	-75.81	m i k u	C V C V	m i k - - u	m i k u	C V C V
1694	Apurimac	eat, to	miju	miju	m i χ u		57	east2551	-13.89	-73.14	m i χ u	C V C V	m i χ - - u	m i χ u	C V C V
1696	Atalla	eat, to	mi.ku.	mi.ku.	m i k u		57	huan1249	-12.76	-74.87	m i k u	C V C V	m i k - - u	m i k u	C V C V
1697	Ayacucho	eat, to	miku	miku	m i k u		57	ayac1239	-13.85	-74.32	m i k u	C V C V	m i k - - u	m i k u	C V C V
7295	Azuay	eat, to	micu-na	micu-na	m i k a		57	azua1234	-2.48	-78.97	m i k a	C V C V	m i k u n a	m i k u n a	C V C V C V
1700	Chachapoyas	eat, to	miku	miku	m i k u		57	chac1250	-6.27	-77.66	m i k u	C V C V	m i k - - u	m i k u	C V C V
1702	Chetilla	eat, to	mi.ku.	mi.ku.	m i k u		57	caja1238	-7.09	-78.32	m i k u	C V C V	m i k - - u	m i k u	C V C V
1707	Huallaga	eat, to	mi.ku.	mi.ku.	m i k u		57	hual1241	-9.57	-75.59	m i k u	C V C V	m i k - - u	m i k u	C V C V
1710	Huangascar	eat, to	miku-	miku-	m i k u		57	azan1238	-12.9	-75.83	m i k u	C V C V	m i k - - u	m i k u	C V C V
1711	HuarazHuailas	eat, to	mikuy	mikuy	m i k u		57	huai1241	-9.52	-77.52	m i k u	C V C V	m i k - - u	m i k u	C V C V
1712	Imbabura	eat, to	mikuna	mikuna	m i k a		57	imba1240	-0.23	-78.26	m i k a	C V C V	m i k u n a	m i k u n a	C V C V C V
1713	Inkawasi	eat, to	mi.ku.	mi.ku.	m i k u		57	lamb1276	-6.17	-79.47	m i k u	C V C V	m i k - - u	m i k u	C V C V
7357	Jauja	eat, to	mikuy	mikuy	m i k u		57	jauj1238	-11.67	-75.28	m i k u	C V C V	m i k - - u	m i k u	C V C V
1720	Maragua	eat, to	mi.khu.	mi.khu.	m i kʰ u		57	sout2991	-18.96	-65.78	m i kʰ u	C V C V	m i kʰ - - u	m i kʰ u	C V C V
1721	Napo	eat, to	micuna	micuna	m i k a		57	napo1242	-0.04	-76.23	m i k a	C V C V	m i k u n a	m i k u n a	C V C V C V
1722	Pacaraos	eat, to	miku, mika	miku	m i k u		57	paca1245	-11.14	-76.73	m i k u	C V C V	m i k - - u	m i k u	C V C V
1727	Puno	eat, to	mi.khu.	mi.khu.	m i kʰ u		57	puno1238	-14.61	-70.21	m i kʰ u	C V C V	m i kʰ - - u	m i kʰ u	C V C V
1731	Santiagueno	eat, to	mikuy	mikuy	m i x u		57	sant1432	-27.79	-64.25	m i x u	C V C V	m i x - - u	m i x u	C V C V
1740	Yanac	eat, to	mi.ku.	mi.ku.	m i k u		57	coro1247	-8.58	-77.99	m i k u	C V C V	m i k - - u	m i k u	C V C V
4706	Apuri	egg	runtu	runtu	ɾ u n t u		68	apur1253	-12.89	-75.81	ɾ u n t u	C V C C V	ɾ u n t u	ɾ u n t u	C V C C V
4707	Apurimac	egg	runtu	runtu	r u n t u		68	east2551	-13.89	-73.14	r u n t u	C V C C V	r u n t u	r u n t u	C V C C V
4709	Atalla	egg	runtu	runtu	r u n t u		68	huan1249	-12.76	-74.87	r u n t u	C V C C V	r u n t u	r u n t u	C V C C V
4710	Ayacucho	egg	runtu	runtu	ɾ u n t u		68	ayac1239	-13.85	-74.32	ɾ u n t u	C V C C V	ɾ u n t u	ɾ u n t u	C V C C V
4713	Chachapoyas	egg	runtu	runtu	r u n d u		68	chac1250	-6.27	-77.66	r u n d u	C V C C V	r u n d u	r u n d u	C V C C V
4720	Huallaga	egg	runtu	runtu	r u n t u		68	hual1241	-9.57	-75.59	r u n t u	C V C C V	r u n t u	r u n t u	C V C C V
4724	Huangascar	egg	runtu	runtu	ɾ u n t u		68	azan1238	-12.9	-75.83	ɾ u n t u	C V C C V	ɾ u n t u	ɾ u n t u	C V C C V
4727	Inkawasi	egg	řundu	řundu	r̝ u n d u		68	lamb1276	-6.17	-79.47	r̝ u n d u	C V C C V	r̝ u n d u	r̝ u n d u	C V C C V
4734	Maragua	egg	řuntu	řuntu	r̝ u n t u		68	sout2991	-18.96	-65.78	r̝ u n t u	C V C C V	r̝ u n t u	r̝ u n t u	C V C C V
4740	Puno	egg	runtu	runtu	r u n t u		68	puno1238	-14.61	-70.21	r u n t u	C V C C V	r u n t u	r u n t u	C V C C V
4743	Santiagueno	egg	runtu	runtu	ɾ u n t u		68	sant1432	-27.79	-64.25	ɾ u n t u	C V C C V	ɾ u n t u	ɾ u n t u	C V C C V
4754	Yanac	egg	runtu	runtu	r u n t u		68	coro1247	-8.58	-77.99	r u n t u	C V C C V	r u n t u	r u n t u	C V C C V
7221	Azuay	egg	rurru	rurru	ɾ u r u		182	azua1234	-2.48	-78.97	ɾ u r u	C V C V	ɾ u r u	ɾ u r u	C V C V
4715	Chetilla	egg	ruru	ruru	r u r u		182	caja1238	-7.09	-78.32	r u r u	C V C V	r u r u	r u r u	C V C V
4725	HuarazHuailas	egg	ruru	ruru	ɾ u ɾ u		182	huai1241	-9.52	-77.52	ɾ u ɾ u	C V C V	ɾ u ɾ u	ɾ u ɾ u	C V C V
7358	Jauja	egg	lulu	lulu	l u l u		182	jauj1238	-11.67	-75.28	l u l u	C V C V	l u l u	l u l u	C V C V
4736	Pacaraos	egg	ruru	ruru	ɾ u ɾ u		182	paca1245	-11.14	-76.73	ɾ u ɾ u	C V C V	ɾ u ɾ u	ɾ u ɾ u	C V C V
6113	Apuri	eight	pusaq	pusaq	p u s a q		75	apur1253	-12.89	-75.81	p u s a q	C V C V C	p u s a q	p u s a q	C V C V C
6114	Apurimac	eight	musaq	musaq	m u s a q		75	east2551	-13.89	-73.14	m u s a q	C V C V C	m u s a q	m u s a q	C V C V C
6116	Atalla	eight	pusaχ	pusaχ	p u s a χ		75	huan1249	-12.76	-74.87	p u s a χ	C V C V C	p u s a χ	p u s a χ	C V C V C
6117	Ayacucho	eight	pusaq	pusaq	p u s a χ		75	ayac1239	-13.85	-74.32	p u s a χ	C V C V C	p u s a χ	p u s a χ	C V C V C
7176	Azuay	eight	pusag	pusag	p u s a g		75	azua1234	-2.48	-78.97	p u s a g	C V C V C	p u s a g	p u s a g	C V C V C
6120	Chachapoyas	eight	pusak	pusak	p u s a k		75	chac1250	-6.27	-77.66	p u s a k	C V C V C	p u s a k	p u s a k	C V C V C
6122	Chetilla	eight	pusaχ	pusaχ	p u s a χ		75	caja1238	-7.09	-78.32	p u s a χ	C V C V C	p u s a χ	p u s a χ	C V C V C
6126	Huallaga	eight	pusaχ	pusaχ	p u s a χ		75	hual1241	-9.57	-75.59	p u s a χ	C V C V C	p u s a χ	p u s a χ	C V C V C
6129	Huangascar	eight	pusaq	pusaq	p u s a q		75	azan1238	-12.9	-75.83	p u s a q	C V C V C	p u s a q	p u s a q	C V C V C
7490	HuarazHuailas	eight	pusaq	pusaq	p u s a q		75	huai1241	-9.52	-77.52	p u s a q	C V C V C	p u s a q	p u s a q	C V C V C
6130	Imbabura	eight	pusak	pusak	p u s a k		75	imba1240	-0.23	-78.26	p u s a k	C V C V C	p u s a k	p u s a k	C V C V C
7359	Jauja	eight	pusaq	pusaq	p u s a ʔ		75	jauj1238	-11.67	-75.28	p u s a ʔ	C V C V C	p u s a ʔ	p u s a ʔ	C V C V C
6139	Maragua	eight	pusaχ	pusaχ	p u s a χ		75	sout2991	-18.96	-65.78	p u s a χ	C V C V C	p u s a χ	p u s a χ	C V C V C
6140	Napo	eight	pusaj	pusaj	p u s a χ		75	napo1242	-0.04	-76.23	p u s a χ	C V C V C	p u s a χ	p u s a χ	C V C V C
6141	Pacaraos	eight	puwaq	puwaq	p u w a χ		75	paca1245	-11.14	-76.73	p u w a χ	C V C V C	p u w a χ	p u w a χ	C V C V C
6145	Puno	eight	pusaχ	pusaχ	p u s a χ		75	puno1238	-14.61	-70.21	p u s a χ	C V C V C	p u s a χ	p u s a χ	C V C V C
6148	Santiagueno	eight	pusaq	pusaq	p u s a χ	in disuse	75	sant1432	-27.79	-64.25	p u s a χ	C V C V C	p u s a χ	p u s a χ	C V C V C
6157	Yanac	eight	pusaq	pusaq	p u s a q		75	coro1247	-8.58	-77.99	p u s a q	C V C V C	p u s a q	p u s a q	C V C V C
3633	Apuri	elbow	kutrush	kutrush	k u ʈ u ʃ		84	apur1253	-12.89	-75.81	k u ʈ u ʃ	C V C V C	k u ʈ u ʃ	k u ʈ u ʃ	C V C V C
3636	Atalla	elbow	kuču.s	kuču.s	k u tʃ u s		84	huan1249	-12.76	-74.87	k u tʃ u s	C V C V C	k u tʃ u s	k u tʃ u s	C V C V C
3637	Ayacucho	elbow	kuchus	kuchus	k u tʃ u s		84	ayac1239	-13.85	-74.32	k u tʃ u s	C V C V C	k u tʃ u s	k u tʃ u s	C V C V C
3640	Chachapoyas	elbow	kuĉush	kuĉush	k u ʈʂ u ʃ		84	chac1250	-6.27	-77.66	k u ʈʂ u ʃ	C V C V C	k u ʈʂ u ʃ	k u ʈʂ u ʃ	C V C V C
3650	Huangascar	elbow	kutrush	kutrush	k u ʈ u ʃ		84	azan1238	-12.9	-75.83	k u ʈ u ʃ	C V C V C	k u ʈ u ʃ	k u ʈ u ʃ	C V C V C
7360	Jauja	elbow	kutrush	kutrush	k u ʈʂ u ʂ		84	jauj1238	-11.67	-75.28	k u ʈʂ u ʂ	C V C V C	k u ʈʂ u ʂ	k u ʈʂ u ʂ	C V C V C
3662	Pacaraos	elbow	kutrush	kutrush	k u ʈʂ u ʃ		84	paca1245	-11.14	-76.73	k u ʈʂ u ʃ	C V C V C	k u ʈʂ u ʃ	k u ʈʂ u ʃ	C V C V C
3642	Chetilla	elbow	kuku.ĉi	kuku.ĉi	k u k u ʈʂ i		496	caja1238	-7.09	-78.32	k u k u ʈʂ i	C V C V C V	k u k u ʈʂ i	k u k u ʈʂ i	C V C V C V
7518	HuarazHuailas	elbow	kukuchi	kukuchi	k u k u tʃ i		496	huai1241	-9.52	-77.52	k u k u tʃ i	C V C V C V	k u k u tʃ i	k u k u tʃ i	C V C V C V
3653	Inkawasi	elbow	kuk(u).ĉi	kuk.ĉi	k u k u ʈʂ i		496	lamb1276	-6.17	-79.47	k u k u ʈʂ i	C V C V C V	k u k u ʈʂ i	k u k u ʈʂ i	C V C V C V
3678	Yanac	elbow	kuku.ĉi	kuku.ĉi	k u k u ʈʂ i		496	coro1247	-8.58	-77.99	k u k u ʈʂ i	C V C V C V	k u k u ʈʂ i	k u k u ʈʂ i	C V C V C V
7201	Azuay	elbow	rigra mucu	rigra mucu	ɾ i g ɾ u		810	azua1234	-2.48	-78.97	ɾ i g ɾ u	C V C C V	ɾ i g ɾ a m u k u	ɾ i g ɾ a m u k u	C V C C V C V C V
3652	Imbabura	elbow	rigra muku	rigra muku	ɾ i g ɾ u		810	imba1240	-0.23	-78.26	ɾ i g ɾ u	C V C C V	ɾ i g ɾ a m u k u	ɾ i g ɾ a m u k u	C V C C V C V C V
3661	Napo	elbow	rigra	rigra	r i g r a		810	napo1242	-0.04	-76.23	r i g r a	C V C C V	r i g r - - - - a	r i g r a	C V C C V
3666	Puno	elbow	muqu	muqu	m u q u		400	puno1238	-14.61	-70.21	m u q u	C V C V	m u q u	m u q u	C V C V
3669	Santiagueno	elbow	moqo	moqo	m o χ o		400	sant1432	-27.79	-64.25	m o χ o	C V C V	m o χ o	m o χ o	C V C V
773	Apurimac	empty	chusaq	chusaq	tʃ u s a q		94	east2551	-13.89	-73.14	tʃ u s a q	C V C V C	tʃ u s a q	tʃ u s a q	C V C V C
7279	Azuay	empty	chushag	chushag	tʃ u ʃ a g		94	azua1234	-2.48	-78.97	tʃ u ʃ a g	C V C V C	tʃ u ʃ a g	tʃ u ʃ a g	C V C V C
785	Imbabura	empty	chushaj	chushaj	tʃ u ʃ a x		94	imba1240	-0.23	-78.26	tʃ u ʃ a x	C V C V C	tʃ u ʃ a x	tʃ u ʃ a x	C V C V C
790	Maragua	empty	č'usa.χ	č'usa.χ	tʃʼ u s a χ		94	sout2991	-18.96	-65.78	tʃʼ u s a χ	C V C V C	tʃʼ u s a χ	tʃʼ u s a χ	C V C V C
791	Napo	empty	chushaj	chushaj	tʃ u ʃ a		94	napo1242	-0.04	-76.23	tʃ u ʃ a -	C V C V	tʃ u ʃ a -	tʃ u ʃ a	C V C V
796	Puno	empty	č'usa.χ	č'usa.χ	tʃʼ u s a χ		94	puno1238	-14.61	-70.21	tʃʼ u s a χ	C V C V C	tʃʼ u s a χ	tʃʼ u s a χ	C V C V C
799	Santiagueno	empty	chusaq	chusaq	tʃ u s a χ		94	sant1432	-27.79	-64.25	tʃ u s a χ	C V C V C	tʃ u s a χ	tʃ u s a χ	C V C V C
3197	Apuri	eye	ñawi	ñawi	ɲ a w i		104	apur1253	-12.89	-75.81	ɲ a w i	C V C V	ɲ a w i	ɲ a w i	C V C V
3198	Apurimac	eye	ñawi	ñawi	ɲ a w i		104	east2551	-13.89	-73.14	ɲ a w i	C V C V	ɲ a w i	ɲ a w i	C V C V
3200	Atalla	eye	ñawi	ñawi	ɲ a w i		104	huan1249	-12.76	-74.87	ɲ a w i	C V C V	ɲ a w i	ɲ a w i	C V C V
3201	Ayacucho	eye	ñawi	ñawi	ɲ a w i		104	ayac1239	-13.85	-74.32	ɲ a w i	C V C V	ɲ a w i	ɲ a w i	C V C V
3204	Chachapoyas	eye	ñawi	ñawi	ɲ a w i		104	chac1250	-6.27	-77.66	ɲ a w i	C V C V	ɲ a w i	ɲ a w i	C V C V
3207	Chetilla	eye	ñawi	ñawi	ɲ a w i		104	caja1238	-7.09	-78.32	ɲ a w i	C V C V	ɲ a w i	ɲ a w i	C V C V
3212	Huallaga	eye	ñawi	ñawi	ɲ a w i		104	hual1241	-9.57	-75.59	ɲ a w i	C V C V	ɲ a w i	ɲ a w i	C V C V
3215	Huangascar	eye	ñawi	ñawi	ɲ a w i		104	azan1238	-12.9	-75.83	ɲ a w i	C V C V	ɲ a w i	ɲ a w i	C V C V
3216	HuarazHuailas	eye	ñawi	ñawi	ɳ a w i		104	huai1241	-9.52	-77.52	ɳ a w i	C V C V	ɳ a w i	ɳ a w i	C V C V
3218	Inkawasi	eye	nawi	nawi	n a w i		104	lamb1276	-6.17	-79.47	n a w i	C V C V	n a w i	n a w i	C V C V
7362	Jauja	eye	ñawi	ñawi	ɲ a w i		104	jauj1238	-11.67	-75.28	ɲ a w i	C V C V	ɲ a w i	ɲ a w i	C V C V
3225	Maragua	eye	ñawi	ñawi	ɲ a w i		104	sout2991	-18.96	-65.78	ɲ a w i	C V C V	ɲ a w i	ɲ a w i	C V C V
3227	Pacaraos	eye	ñawi	ñawi	ɲ a w i		104	paca1245	-11.14	-76.73	ɲ a w i	C V C V	ɲ a w i	ɲ a w i	C V C V
3231	Puno	eye	ñawi	ñawi	ɲ a w i		104	puno1238	-14.61	-70.21	ɲ a w i	C V C V	ɲ a w i	ɲ a w i	C V C V
3235	Santiagueno	eye	ñawi	ñawi	ɲ a w i		104	sant1432	-27.79	-64.25	ɲ a w i	C V C V	ɲ a w i	ɲ a w i	C V C V
3245	Yanac	eye	ñawi	ñawi	ɲ a w i		104	coro1247	-8.58	-77.99	ɲ a w i	C V C V	ɲ a w i	ɲ a w i	C V C V
3051	Apuri	face	uya	uya	u j a		114	apur1253	-12.89	-75.81	u j a	V C V	u j a	u j a	V C V
3052	Apurimac	face	uya	uya	u j a		114	east2551	-13.89	-73.14	u j a	V C V	u j a	u j a	V C V
3055	Ayacucho	face	uya	uya	u j a		114	ayac1239	-13.85	-74.32	u j a	V C V	u j a	u j a	V C V
3067	Huangascar	face	uya	uya	u j a		114	azan1238	-12.9	-75.83	u j a	V C V	u j a	u j a	V C V
3075	Maragua	face	uya	uya	u j a		114	sout2991	-18.96	-65.78	u j a	V C V	u j a	u j a	V C V
3081	Puno	face	uya	uya	u j a		114	puno1238	-14.61	-70.21	u j a	V C V	u j a	u j a	V C V
3085	Santiagueno	face	uya	uya	u j a		114	sant1432	-27.79	-64.25	u j a	V C V	u j a	u j a	V C V
3059	Chetilla	face	qaγdya	qaγdya	q a ʁ ʎ a		113	caja1238	-7.09	-78.32	q a ʁ ʎ a	C V C C V	q a ʁ ʎ a	q a ʁ ʎ a	C V C C V
3065	Huallaga	face	qaχλa	qaχλa	q a χ ʎ a		113	hual1241	-9.57	-75.59	q a χ ʎ a	C V C C V	q a χ ʎ a	q a χ ʎ a	C V C C V
7493	HuarazHuailas	face	qaqlla	qaqlla	q a q ʎ a		113	huai1241	-9.52	-77.52	q a q ʎ a	C V C C V	q a q ʎ a	q a q ʎ a	C V C C V
